glyph_name,ps_name,sort_final,sort_design,USV
.notdef,.notdef,0,0,
.null,.null,1,1,
nonmarkingreturn,nonmarkingreturn,2,2,
space,space,3,3,0020
space.latn,space.latn,4,701,
exclam,exclam,5,4,0021
exclam.latn,exclam.latn,6,702,
quotedbl,quotedbl,7,5,0022
numbersign,numbersign,8,6,0023
dollar,dollar,9,7,0024
percent,percent,10,8,0025
ampersand,ampersand,11,9,0026
quotesingle,quotesingle,12,10,0027
parenleft,parenleft,13,11,0028
parenleft.latn,parenleft.latn,14,703,
parenright,parenright,15,12,0029
parenright.latn,parenright.latn,16,704,
asterisk,asterisk,17,13,002A
plus,plus,18,14,002B
comma,comma,19,15,002C
comma.latn,comma.latn,20,705,
hyphen,hyphen,21,16,002D
hyphen.latn,hyphen.latn,22,706,
period,period,23,17,002E
period.latn,period.latn,24,707,
slash,slash,25,18,002F
slash.latn,slash.latn,26,708,
zero,zero,27,19,0030
zero.latn,zero.latn,28,709,
one,one,29,20,0031
one.latn,one.latn,30,710,
two,two,31,21,0032
two.latn,two.latn,32,711,
three,three,33,22,0033
three.latn,three.latn,34,712,
four,four,35,23,0034
four.latn,four.latn,36,713,
five,five,37,24,0035
five.latn,five.latn,38,714,
six,six,39,25,0036
six.latn,six.latn,40,715,
seven,seven,41,26,0037
seven.latn,seven.latn,42,716,
eight,eight,43,27,0038
eight.latn,eight.latn,44,717,
nine,nine,45,28,0039
nine.latn,nine.latn,46,718,
colon,colon,47,29,003A
colon.latn,colon.latn,48,719,
semicolon,semicolon,49,30,003B
semicolon.latn,semicolon.latn,50,720,
less,less,51,31,003C
equal,equal,52,32,003D
greater,greater,53,33,003E
question,question,54,34,003F
question.latn,question.latn,55,721,
at,at,56,35,0040
A,A,57,36,0041
B,B,58,37,0042
C,C,59,38,0043
D,D,60,39,0044
E,E,61,40,0045
F,F,62,41,0046
G,G,63,42,0047
H,H,64,43,0048
I,I,65,44,0049
J,J,66,45,004A
K,K,67,46,004B
L,L,68,47,004C
M,M,69,48,004D
N,N,70,49,004E
O,O,71,50,004F
P,P,72,51,0050
Q,Q,73,52,0051
R,R,74,53,0052
S,S,75,54,0053
T,T,76,55,0054
U,U,77,56,0055
V,V,78,57,0056
W,W,79,58,0057
X,X,80,59,0058
Y,Y,81,60,0059
Z,Z,82,61,005A
bracketleft,bracketleft,83,62,005B
backslash,backslash,84,63,005C
bracketright,bracketright,85,64,005D
asciicircum,asciicircum,86,65,005E
underscore,underscore,87,66,005F
grave,grave,88,67,0060
a,a,89,68,0061
b,b,90,69,0062
c,c,91,70,0063
d,d,92,71,0064
e,e,93,72,0065
f,f,94,73,0066
g,g,95,74,0067
h,h,96,75,0068
i,i,97,76,0069
j,j,98,77,006A
k,k,99,78,006B
l,l,100,79,006C
m,m,101,80,006D
n,n,102,81,006E
o,o,103,82,006F
