glyph_name,ps_name,sort_final,sort_design,USV
.notdef,.notdef,0,0,
.null,.null,1,1,
nonmarkingreturn,nonmarkingreturn,2,2,
space,space,3,3,0020
space.latn,space.latn,4,711,
exclam,exclam,5,4,0021
exclam.latn,exclam.latn,6,712,
quotedbl,quotedbl,7,5,0022
numbersign,numbersign,8,6,0023
dollar,dollar,9,7,0024
percent,percent,10,8,0025
ampersand,ampersand,11,9,0026
quotesingle,quotesingle,12,10,0027
parenleft,parenleft,13,11,0028
parenleft.latn,parenleft.latn,14,713,
parenright,parenright,15,12,0029
parenright.latn,parenright.latn,16,714,
asterisk,asterisk,17,13,002A
plus,plus,18,14,002B
comma,comma,19,15,002C
comma.latn,comma.latn,20,715,
hyphen,hyphen,21,16,002D
hyphen.latn,hyphen.latn,22,716,
period,period,23,17,002E
period.latn,period.latn,24,717,
slash,slash,25,18,002F
slash.latn,slash.latn,26,718,
zero,zero,27,19,0030
zero.latn,zero.latn,28,719,
one,one,29,20,0031
one.latn,one.latn,30,720,
one.numerator,one.numerator,31,740,
two,two,32,21,0032
two.denominator,two.denominator,33,701,
two.latn,two.latn,34,721,
three,three,35,22,0033
three.latn,three.latn,36,722,
three.numerator,three.numerator,37,741,
four,four,38,23,0034
four.denominator,four.denominator,39,702,
four.latn,four.latn,40,723,
five,five,41,24,0035
five.latn,five.latn,42,724,
six,six,43,25,0036
six.latn,six.latn,44,725,
seven,seven,45,26,0037
seven.latn,seven.latn,46,726,
eight,eight,47,27,0038
eight.latn,eight.latn,48,727,
nine,nine,49,28,0039
nine.latn,nine.latn,50,728,
colon,colon,51,29,003A
colon.latn,colon.latn,52,729,
semicolon,semicolon,53,30,003B
semicolon.latn,semicolon.latn,54,730,
less,less,55,31,003C
equal,equal,56,32,003D
greater,greater,57,33,003E
question,question,58,34,003F
question.latn,question.latn,59,731,
at,at,60,35,0040
A,A,61,36,0041
B,B,62,37,0042
C,C,63,38,0043
D,D,64,39,0044
E,E,65,40,0045
F,F,66,41,0046
G,G,67,42,0047
H,H,68,43,0048
I,I,69,44,0049
J,J,70,45,004A
K,K,71,46,004B
L,L,72,47,004C
M,M,73,48,004D
N,N,74,49,004E
O,O,75,50,004F
P,P,76,51,0050
Q,Q,77,52,0051
R,R,78,53,0052
S,S,79,54,0053
T,T,80,55,0054
U,U,81,56,0055
V,V,82,57,0056
W,W,83,58,0057
X,X,84,59,0058
Y,Y,85,60,0059
Z,Z,86,61,005A
bracketleft,bracketleft,87,62,005B
backslash,backslash,88,63,005C
bracketright,bracketright,89,64,005D
asciicircum,asciicircum,90,65,005E
underscore,underscore,91,66,005F
grave,grave,92,67,0060
a,a,93,68,0061
a.superior,a.superior,94,784,
b,b,95,69,0062
c,c,96,70,0063
d,d,97,71,0064
e,e,98,72,0065
f,f,99,73,0066
g,g,100,74,0067
